population,deaths
360000,611
345400,124
334200,62
326700,56
322300,42
311900,46
301300,31
300500,33
308900,37
317100,33
322200,38
331600,31
329600,31
332400,40
340100,50
346700,72
360300,122
370600,174
368000,198
370700,213
381200,266
380100,222
379900,245
392100,264
386600,258
376900,236
363200,287
373000,277
371400,303
353200,287
336500,289
332200,307
340200,300
349000,378
356000,424
372000,496
388000,468
398500,498
397500,600
406600,581
411000,659
420200,742
417300,727
417200,823
410400,825
400700,929
388700,975
379800,1072
364800,1065
358700,1159
354700,1297
340400,1322
326900,1360
318300,1455
318900,1635
313100,1778
309800,1875
310400,2095
318600,2227
328800,2608
352900,2997
367500,3364
296200,3108
287800,3439
279400,3602
265200,3714
237000,3689
220200,3729
226700,4346
224600,4688
218800,4981
210400,5290
200900,5562
190700,5963
177400,5900
171500,6506
165800,7015
158900,7517
147700,7772
135700,8210
123800,8236
115600,8635
105200,8631
93700,8586
82600,8691
73300,8491
66500,8671
60400,8262
48600,7699
36000,4943
98700,23810
